model_id,event,n,any_k,any_rate,any_ci95_low,any_ci95_high,before_decision_k,before_decision_rate
frontier_anthropic,sbom_opened,50,0,0.0,0.0,0.07134759913335872,0,0.0
frontier_anthropic,release_signature_fetched,50,0,0.0,0.0,0.07134759913335872,0,0.0
frontier_anthropic,release_signature_verified,50,0,0.0,0.0,0.07134759913335872,0,0.0
frontier_anthropic,attestation_fetched,50,0,0.0,0.0,0.07134759913335872,0,0.0
frontier_anthropic,attestation_verified,50,0,0.0,0.0,0.07134759913335872,0,0.0
frontier_anthropic,channel_declaration_opened,50,0,0.0,0.0,0.07134759913335872,0,0.0
frontier_anthropic,metadata_surface_opened,50,0,0.0,0.0,0.07134759913335872,0,0.0
frontier_openai,sbom_opened,72,0,0.0,0.0,0.05065117259645781,0,0.0
frontier_openai,release_signature_fetched,72,0,0.0,0.0,0.05065117259645781,0,0.0
frontier_openai,release_signature_verified,72,0,0.0,0.0,0.05065117259645781,0,0.0
frontier_openai,attestation_fetched,72,0,0.0,0.0,0.05065117259645781,0,0.0
frontier_openai,attestation_verified,72,0,0.0,0.0,0.05065117259645781,0,0.0
frontier_openai,channel_declaration_opened,72,0,0.0,0.0,0.05065117259645781,0,0.0
frontier_openai,metadata_surface_opened,72,0,0.0,0.0,0.05065117259645781,0,0.0
frontier_openweight,sbom_opened,72,1,0.013888888888888888,0.002455951882905767,0.07456602147476155,1,0.013888888888888888
frontier_openweight,release_signature_fetched,72,1,0.013888888888888888,0.002455951882905767,0.07456602147476155,1,0.013888888888888888
frontier_openweight,release_signature_verified,72,0,0.0,0.0,0.05065117259645781,0,0.0
frontier_openweight,attestation_fetched,72,1,0.013888888888888888,0.002455951882905767,0.07456602147476155,1,0.013888888888888888
frontier_openweight,attestation_verified,72,0,0.0,0.0,0.05065117259645781,0,0.0
frontier_openweight,channel_declaration_opened,72,1,0.013888888888888888,0.002455951882905767,0.07456602147476155,1,0.013888888888888888
frontier_openweight,metadata_surface_opened,72,0,0.0,0.0,0.05065117259645781,0,0.0
hosted_flashlite,sbom_opened,360,0,0.0,0.0,0.010558056888693507,0,0.0
hosted_flashlite,release_signature_fetched,360,1,0.002777777777777778,0.000490514392087504,0.015564442180557707,0,0.0
hosted_flashlite,release_signature_verified,360,0,0.0,0.0,0.010558056888693507,0,0.0
hosted_flashlite,attestation_fetched,360,0,0.0,0.0,0.010558056888693507,0,0.0
hosted_flashlite,attestation_verified,360,0,0.0,0.0,0.010558056888693507,0,0.0
hosted_flashlite,channel_declaration_opened,360,0,0.0,0.0,0.010558056888693507,0,0.0
hosted_flashlite,metadata_surface_opened,360,1,0.002777777777777778,0.000490514392087504,0.015564442180557707,0,0.0
hosted_sonnet,sbom_opened,360,4,0.011111111111111112,0.004329143343163391,0.02821651228133693,1,0.002777777777777778
hosted_sonnet,release_signature_fetched,360,7,0.019444444444444445,0.009450116475484056,0.03958623820087137,5,0.013888888888888888
hosted_sonnet,release_signature_verified,360,0,0.0,0.0,0.010558056888693507,0,0.0
hosted_sonnet,attestation_fetched,360,5,0.013888888888888888,0.005946705720899715,0.03209584958755231,4,0.011111111111111112
hosted_sonnet,attestation_verified,360,0,0.0,0.0,0.010558056888693507,0,0.0
hosted_sonnet,channel_declaration_opened,360,3,0.008333333333333333,0.0028380524355806954,0.02421070350496792,2,0.005555555555555556
hosted_sonnet,metadata_surface_opened,360,1,0.002777777777777778,0.000490514392087504,0.015564442180557707,1,0.002777777777777778
local_openweight,sbom_opened,1200,0,0.0,0.0,0.003191000602734924,0,0.0
local_openweight,release_signature_fetched,1200,0,0.0,0.0,0.003191000602734924,0,0.0
local_openweight,release_signature_verified,1200,0,0.0,0.0,0.003191000602734924,0,0.0
local_openweight,attestation_fetched,1200,0,0.0,0.0,0.003191000602734924,0,0.0
local_openweight,attestation_verified,1200,0,0.0,0.0,0.003191000602734924,0,0.0
local_openweight,channel_declaration_opened,1200,0,0.0,0.0,0.003191000602734924,0,0.0
local_openweight,metadata_surface_opened,1200,0,0.0,0.0,0.003191000602734924,0,0.0
