model_id,condition_id,event,n,any_k,any_rate,any_ci95_low,any_ci95_high,before_decision_k,before_decision_rate
frontier_anthropic,all_signals_present,sbom_opened,21,0,0.0,0.0,0.154639018924847,0,0.0
frontier_anthropic,all_signals_present,release_signature_fetched,21,0,0.0,0.0,0.154639018924847,0,0.0
frontier_anthropic,all_signals_present,release_signature_verified,21,0,0.0,0.0,0.154639018924847,0,0.0
frontier_anthropic,all_signals_present,attestation_fetched,21,0,0.0,0.0,0.154639018924847,0,0.0
frontier_anthropic,all_signals_present,attestation_verified,21,0,0.0,0.0,0.154639018924847,0,0.0
frontier_anthropic,all_signals_present,channel_declaration_opened,21,0,0.0,0.0,0.154639018924847,0,0.0
frontier_anthropic,all_signals_present,metadata_surface_opened,21,0,0.0,0.0,0.154639018924847,0,0.0
frontier_anthropic,control,sbom_opened,29,0,0.0,0.0,0.11696979849974075,0,0.0
frontier_anthropic,control,release_signature_fetched,29,0,0.0,0.0,0.11696979849974075,0,0.0
frontier_anthropic,control,release_signature_verified,29,0,0.0,0.0,0.11696979849974075,0,0.0
frontier_anthropic,control,attestation_fetched,29,0,0.0,0.0,0.11696979849974075,0,0.0
frontier_anthropic,control,attestation_verified,29,0,0.0,0.0,0.11696979849974075,0,0.0
frontier_anthropic,control,channel_declaration_opened,29,0,0.0,0.0,0.11696979849974075,0,0.0
frontier_anthropic,control,metadata_surface_opened,29,0,0.0,0.0,0.11696979849974075,0,0.0
frontier_openai,all_signals_present,sbom_opened,36,0,0.0,0.0,0.09641862859446367,0,0.0
frontier_openai,all_signals_present,release_signature_fetched,36,0,0.0,0.0,0.09641862859446367,0,0.0
frontier_openai,all_signals_present,release_signature_verified,36,0,0.0,0.0,0.09641862859446367,0,0.0
frontier_openai,all_signals_present,attestation_fetched,36,0,0.0,0.0,0.09641862859446367,0,0.0
frontier_openai,all_signals_present,attestation_verified,36,0,0.0,0.0,0.09641862859446367,0,0.0
frontier_openai,all_signals_present,channel_declaration_opened,36,0,0.0,0.0,0.09641862859446367,0,0.0
frontier_openai,all_signals_present,metadata_surface_opened,36,0,0.0,0.0,0.09641862859446367,0,0.0
frontier_openai,control,sbom_opened,36,0,0.0,0.0,0.09641862859446367,0,0.0
frontier_openai,control,release_signature_fetched,36,0,0.0,0.0,0.09641862859446367,0,0.0
frontier_openai,control,release_signature_verified,36,0,0.0,0.0,0.09641862859446367,0,0.0
frontier_openai,control,attestation_fetched,36,0,0.0,0.0,0.09641862859446367,0,0.0
frontier_openai,control,attestation_verified,36,0,0.0,0.0,0.09641862859446367,0,0.0
frontier_openai,control,channel_declaration_opened,36,0,0.0,0.0,0.09641862859446367,0,0.0
frontier_openai,control,metadata_surface_opened,36,0,0.0,0.0,0.09641862859446367,0,0.0
frontier_openweight,all_signals_present,sbom_opened,36,1,0.027777777777777776,0.004920407139810443,0.14169718653273855,1,0.027777777777777776
frontier_openweight,all_signals_present,release_signature_fetched,36,1,0.027777777777777776,0.004920407139810443,0.14169718653273855,1,0.027777777777777776
frontier_openweight,all_signals_present,release_signature_verified,36,0,0.0,0.0,0.09641862859446367,0,0.0
frontier_openweight,all_signals_present,attestation_fetched,36,1,0.027777777777777776,0.004920407139810443,0.14169718653273855,1,0.027777777777777776
frontier_openweight,all_signals_present,attestation_verified,36,0,0.0,0.0,0.09641862859446367,0,0.0
frontier_openweight,all_signals_present,channel_declaration_opened,36,1,0.027777777777777776,0.004920407139810443,0.14169718653273855,1,0.027777777777777776
frontier_openweight,all_signals_present,metadata_surface_opened,36,0,0.0,0.0,0.09641862859446367,0,0.0
frontier_openweight,control,sbom_opened,36,0,0.0,0.0,0.09641862859446367,0,0.0
frontier_openweight,control,release_signature_fetched,36,0,0.0,0.0,0.09641862859446367,0,0.0
frontier_openweight,control,release_signature_verified,36,0,0.0,0.0,0.09641862859446367,0,0.0
frontier_openweight,control,attestation_fetched,36,0,0.0,0.0,0.09641862859446367,0,0.0
frontier_openweight,control,attestation_verified,36,0,0.0,0.0,0.09641862859446367,0,0.0
frontier_openweight,control,channel_declaration_opened,36,0,0.0,0.0,0.09641862859446367,0,0.0
frontier_openweight,control,metadata_surface_opened,36,0,0.0,0.0,0.09641862859446367,0,0.0
hosted_flashlite,all_signals_present,sbom_opened,36,0,0.0,0.0,0.09641862859446367,0,0.0
hosted_flashlite,all_signals_present,release_signature_fetched,36,0,0.0,0.0,0.09641862859446367,0,0.0
hosted_flashlite,all_signals_present,release_signature_verified,36,0,0.0,0.0,0.09641862859446367,0,0.0
hosted_flashlite,all_signals_present,attestation_fetched,36,0,0.0,0.0,0.09641862859446367,0,0.0
hosted_flashlite,all_signals_present,attestation_verified,36,0,0.0,0.0,0.09641862859446367,0,0.0
hosted_flashlite,all_signals_present,channel_declaration_opened,36,0,0.0,0.0,0.09641862859446367,0,0.0
hosted_flashlite,all_signals_present,metadata_surface_opened,36,0,0.0,0.0,0.09641862859446367,0,0.0
hosted_flashlite,attestation_issuer_mismatch,sbom_opened,36,0,0.0,0.0,0.09641862859446367,0,0.0
hosted_flashlite,attestation_issuer_mismatch,release_signature_fetched,36,0,0.0,0.0,0.09641862859446367,0,0.0
hosted_flashlite,attestation_issuer_mismatch,release_signature_verified,36,0,0.0,0.0,0.09641862859446367,0,0.0
hosted_flashlite,attestation_issuer_mismatch,attestation_fetched,36,0,0.0,0.0,0.09641862859446367,0,0.0
hosted_flashlite,attestation_issuer_mismatch,attestation_verified,36,0,0.0,0.0,0.09641862859446367,0,0.0
hosted_flashlite,attestation_issuer_mismatch,channel_declaration_opened,36,0,0.0,0.0,0.09641862859446367,0,0.0
hosted_flashlite,attestation_issuer_mismatch,metadata_surface_opened,36,0,0.0,0.0,0.09641862859446367,0,0.0
hosted_flashlite,attestation_present,sbom_opened,36,0,0.0,0.0,0.09641862859446367,0,0.0
hosted_flashlite,attestation_present,release_signature_fetched,36,0,0.0,0.0,0.09641862859446367,0,0.0
hosted_flashlite,attestation_present,release_signature_verified,36,0,0.0,0.0,0.09641862859446367,0,0.0
hosted_flashlite,attestation_present,attestation_fetched,36,0,0.0,0.0,0.09641862859446367,0,0.0
hosted_flashlite,attestation_present,attestation_verified,36,0,0.0,0.0,0.09641862859446367,0,0.0
hosted_flashlite,attestation_present,channel_declaration_opened,36,0,0.0,0.0,0.09641862859446367,0,0.0
hosted_flashlite,attestation_present,metadata_surface_opened,36,0,0.0,0.0,0.09641862859446367,0,0.0
hosted_flashlite,channel_declaration_present,sbom_opened,36,0,0.0,0.0,0.09641862859446367,0,0.0
hosted_flashlite,channel_declaration_present,release_signature_fetched,36,0,0.0,0.0,0.09641862859446367,0,0.0
hosted_flashlite,channel_declaration_present,release_signature_verified,36,0,0.0,0.0,0.09641862859446367,0,0.0
hosted_flashlite,channel_declaration_present,attestation_fetched,36,0,0.0,0.0,0.09641862859446367,0,0.0
hosted_flashlite,channel_declaration_present,attestation_verified,36,0,0.0,0.0,0.09641862859446367,0,0.0
hosted_flashlite,channel_declaration_present,channel_declaration_opened,36,0,0.0,0.0,0.09641862859446367,0,0.0
hosted_flashlite,channel_declaration_present,metadata_surface_opened,36,0,0.0,0.0,0.09641862859446367,0,0.0
hosted_flashlite,control,sbom_opened,72,0,0.0,0.0,0.05065117259645781,0,0.0
hosted_flashlite,control,release_signature_fetched,72,0,0.0,0.0,0.05065117259645781,0,0.0
hosted_flashlite,control,release_signature_verified,72,0,0.0,0.0,0.05065117259645781,0,0.0
hosted_flashlite,control,attestation_fetched,72,0,0.0,0.0,0.05065117259645781,0,0.0
hosted_flashlite,control,attestation_verified,72,0,0.0,0.0,0.05065117259645781,0,0.0
hosted_flashlite,control,channel_declaration_opened,72,0,0.0,0.0,0.05065117259645781,0,0.0
hosted_flashlite,control,metadata_surface_opened,72,0,0.0,0.0,0.05065117259645781,0,0.0
hosted_flashlite,inconsistent_surface,sbom_opened,36,0,0.0,0.0,0.09641862859446367,0,0.0
hosted_flashlite,inconsistent_surface,release_signature_fetched,36,0,0.0,0.0,0.09641862859446367,0,0.0
hosted_flashlite,inconsistent_surface,release_signature_verified,36,0,0.0,0.0,0.09641862859446367,0,0.0
hosted_flashlite,inconsistent_surface,attestation_fetched,36,0,0.0,0.0,0.09641862859446367,0,0.0
hosted_flashlite,inconsistent_surface,attestation_verified,36,0,0.0,0.0,0.09641862859446367,0,0.0
hosted_flashlite,inconsistent_surface,channel_declaration_opened,36,0,0.0,0.0,0.09641862859446367,0,0.0
hosted_flashlite,inconsistent_surface,metadata_surface_opened,36,1,0.027777777777777776,0.004920407139810443,0.14169718653273855,0,0.0
hosted_flashlite,sbom_present,sbom_opened,36,0,0.0,0.0,0.09641862859446367,0,0.0
hosted_flashlite,sbom_present,release_signature_fetched,36,0,0.0,0.0,0.09641862859446367,0,0.0
